region, pop2000 // unassigned = 1.9401e+08
USA,                                  2.5862e+08
Africa_Eastern,                       1.8112e+08
Africa_Northern,                      1.4177e+08
Africa_Southern,                      9.999e+07
Africa_Western,                       3.265e+08
Australia_NZ,                         2.2238e+07
Brazil,                               1.6376e+08
Canada,                               2.9634e+07
Central America and Caribbean,        6.1675e+07
Central Asia,                         7.8291e+07
China,                                1.2418e+09
EU-12,                                1.0543e+08
EU-15,                                3.5784e+08
Europe_Eastern,                       6.581e+07
Europe_Non_EU,                        9.1321e+07
European Free Trade Association,      9.9491e+06
India,                                9.9127e+08
Indonesia,                            1.864e+08
Japan,                                1.1435e+08
Mexico,                               9.6457e+07
Middle East,                          1.7617e+08
Pakistan,                             1.5643e+08
Russia,                               1.4903e+08
South Africa,                         4.6202e+07
South America_Northern,               2.5261e+07
South America_Southern,               6.9467e+07
South Asia,                           1.8182e+08
South Korea,                          4.4838e+07
Southeast Asia,                       3.1197e+08
Taiwan,                               1.7004e+07
Argentina,                            3.7683e+07
Colombia,                             3.8113e+07
